S1EMP;CONTRA1;IDNUMCLI;SDB;cartera;Intervalo_PD;PD_FIN;FECHAPER
18;255915;90;3950.94;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;380398;94;23689.10;Hipotecas;0.75 to < 2.50;0.831909;20080415
18;3161803;94;77777.87;Hipotecas;0.75 to < 2.50;0.831909;20130122
18;4555259;128;6175.45;Resto Retail;100.00 (incumplimiento);100.23;20140531
18;306780;224;55458.77;Hipotecas;100.00 (incumplimiento);100.23;20080415
18;221669;224;11140.95;Hipotecas;100.00 (incumplimiento);100.23;20080415
18;4486149;269;5686.91;Resto Retail;0.75 to < 2.50;1.3069992;20140531
18;174252;401;5600.57;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;2873041;549;91902.89;Hipotecas;0.75 to < 2.50;1.593657;20110911
18;2873045;549;7428.12;Hipotecas;0.75 to < 2.50;1.593657;20110911
18;3611495;588;41708.16;Hipotecas;0.75 to < 2.50;0.831909;20130122
18;4528722;588;204208.48;Hipotecas;0.75 to < 2.50;0.831909;20140531
18;673231;588;92485.34;Hipotecas;0.75 to < 2.50;0.831909;20090215
18;673230;588;20855.87;Hipotecas;0.75 to < 2.50;0.831909;20090215
18;2598855;593;311.59;Resto Retail;100.00 (incumplimiento);100.23;20110911
18;5091631;607;7238.62;Resto Retail;2.50 to < 10.00;3.8067354;20150310
18;2819689;649;10115.60;Resto Retail;100.00 (incumplimiento);100.23;20110911
18;2869132;649;350.71;Resto Retail;100.00 (incumplimiento);100.23;20110911
18;3617842;655;116494.50;Hipotecas;0.00 to < 0.15;0.080184;20130122
18;2707661;673;15943.75;Hipotecas;0.00 to < 0.15;0.080184;20110911
18;2707659;673;70333.65;Hipotecas;0.00 to < 0.15;0.080184;20110911
18;226487;747;11467.15;Hipotecas;10.00 to < 100.00;48.330906;20080415
18;219644;747;15903.07;Hipotecas;10.00 to < 100.00;48.330906;20080415
18;3811309;747;913.37;Resto Retail;10.00 to < 100.00;56.06595579;20130122
18;668254;796;6630.26;Hipotecas;0.15 to < 0.25;0.230529;20090215
18;3885361;861;22564.09;Resto Retail;0.50 to < 0.75;0.6835686;20130122
18;5138577;861;7233.96;Resto Retail;0.50 to < 0.75;0.6835686;20150310
18;1551333;861;29855.61;Hipotecas;0.15 to < 0.25;0.230529;20100820
18;1551334;861;51357.74;Hipotecas;0.15 to < 0.25;0.230529;20100820
18;4449364;862;3710.71;Resto Retail;2.50 to < 10.00;3.8067354;20140531
18;3810647;915;9006.39;Resto Retail;0.75 to < 2.50;1.3069992;20130122
18;4600212;920;95211.79;Hipotecas;10.00 to < 100.00;13.300521;20140531
18;2821434;920;36191.21;Hipotecas;10.00 to < 100.00;13.300521;20110911
18;671709;920;76352.20;Hipotecas;10.00 to < 100.00;48.330906;20090215
18;718948;924;27361.80;Hipotecas;10.00 to < 100.00;13.300521;20090215
18;632646;924;19437.94;Hipotecas;10.00 to < 100.00;13.300521;20090215
18;632415;924;49675.30;Hipotecas;10.00 to < 100.00;13.300521;20090215
18;5564331;924;14991.00;Resto Retail;10.00 to < 100.00;17.08871385;20150310
18;2872539;924;35903.50;Hipotecas;10.00 to < 100.00;13.300521;20110911
18;2015068;924;25630.93;Hipotecas;10.00 to < 100.00;13.300521;20110911
18;4133492;924;42196.19;Hipotecas;10.00 to < 100.00;13.300521;20140531
18;2926507;931;30859.15;Hipotecas;0.75 to < 2.50;0.831909;20110911
18;2926504;931;43939.86;Hipotecas;0.75 to < 2.50;0.831909;20110911
18;3540663;931;1971.13;Resto Retail;0.75 to < 2.50;2.2381359;20130122
18;588662;975;86063.39;Hipotecas;100.00 (incumplimiento);100.23;20090215
18;589122;975;36410.46;Hipotecas;100.00 (incumplimiento);100.23;20090215
18;598975;1224;56879.91;Hipotecas;0.00 to < 0.15;0.080184;20090215
18;653010;1234;55012.39;Hipotecas;0.00 to < 0.15;0.080184;20090215
18;294786;1256;37238.18;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;248064;1256;34221.06;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;3921172;1265;18088.30;Resto Retail;0.25 to < 0.50;0.3598257;20130122
18;1900836;1430;29152.77;Hipotecas;2.50 to < 10.00;9.592011;20100820
18;679813;1430;4478.82;Hipotecas;2.50 to < 10.00;9.592011;20090215
18;679814;1430;5293.18;Hipotecas;2.50 to < 10.00;9.592011;20090215
18;5531356;1437;20168.73;Resto Retail;100.00 (incumplimiento);100.23;20150310
18;5853816;1453;3003.57;Resto Retail;10.00 to < 100.00;20.44692;20150310
18;376718;1460;56285.09;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;5188860;1460;31438.83;Hipotecas;0.00 to < 0.15;0.080184;20150310
18;4599615;1487;22013.02;Resto Retail;10.00 to < 100.00;24.71200719;20140531
18;4033833;1487;74047.10;Hipotecas;10.00 to < 100.00;17.84094;20140531
18;4033840;1487;65248.72;Hipotecas;10.00 to < 100.00;17.84094;20140531
18;326464;1488;44815.44;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;228276;1488;5005.95;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;589273;1515;107810.88;Hipotecas;100.00 (incumplimiento);100.23;20090215
18;1543376;1515;64747.25;Hipotecas;100.00 (incumplimiento);100.23;20100820
18;2460365;1523;5331.33;Resto Retail;0.75 to < 2.50;2.2381359;20110911
18;592034;1523;57374.11;Hipotecas;0.75 to < 2.50;0.831909;20090215
18;592035;1523;14976.79;Hipotecas;0.75 to < 2.50;0.831909;20090215
18;5467631;1579;30097.16;Hipotecas;10.00 to < 100.00;48.330906;20150310
18;617184;1579;31481.16;Hipotecas;10.00 to < 100.00;48.330906;20090215
18;5260076;1616;9084.33;Resto Retail;0.25 to < 0.50;0.3598257;20150310
18;373257;1637;56803.26;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;230480;1677;18081.68;Hipotecas;0.75 to < 2.50;0.831909;20080415
18;256026;1677;14090.49;Hipotecas;0.75 to < 2.50;0.831909;20080415
18;365351;1677;27798.24;Hipotecas;0.75 to < 2.50;0.831909;20080415
18;156860;1811;624.83;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;231961;1811;1281.57;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;3005317;1812;24480.27;Hipotecas;10.00 to < 100.00;64.427844;20130122
18;3005316;1812;29442.62;Hipotecas;10.00 to < 100.00;64.427844;20130122
18;3970630;1836;160782.83;Hipotecas;10.00 to < 100.00;64.427844;20130122
18;5088282;1836;22901.49;Resto Retail;100.00 (incumplimiento);100.23;20150310
18;251715;1865;66870.48;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;361906;1865;19192.02;Hipotecas;10.00 to < 100.00;18.191745;20080415
18;316179;1866;53961.37;Hipotecas;0.75 to < 2.50;0.831909;20080415
18;220481;1866;19478.19;Hipotecas;0.75 to < 2.50;0.831909;20080415
18;161706;1879;6824.58;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;5261660;1909;20588.53;Resto Retail;0.75 to < 2.50;2.2381359;20150310
18;175961;2031;20126.22;Hipotecas;10.00 to < 100.00;48.330906;20080415
18;238158;2031;12720.24;Hipotecas;10.00 to < 100.00;48.330906;20080415
18;5562431;2049;113574.15;Hipotecas;2.50 to < 10.00;4.861155;20150310
18;303042;2199;9512.47;Hipotecas;100.00 (incumplimiento);100.23;20080415
18;226550;2199;2691.27;Hipotecas;10.00 to < 100.00;48.330906;20080415
18;833991;2335;11356.16;Hipotecas;0.25 to < 0.50;0.420966;20090215
18;153240;2441;7113.56;Hipotecas;2.50 to < 10.00;4.861155;20080415
18;227816;2441;2370.32;Hipotecas;2.50 to < 10.00;4.861155;20080415
18;1896317;2441;1660.63;Resto Retail;2.50 to < 10.00;9.6300984;20100820
18;240979;2494;43074.98;Hipotecas;0.75 to < 2.50;2.335359;20080415
18;344270;2494;192781.19;Hipotecas;0.75 to < 2.50;2.335359;20080415
18;323902;2514;10834.66;Hipotecas;0.00 to < 0.15;0.080184;20080415
18;163757;2514;17551.62;Hipotecas;0.00 to < 0.15;0.080184;20080415
